MOS_0001|Ambiente ideal para tomar el vermú antes de comer.|es-9,en-6,es
MOS_0183|Nació en Madrid en mil novecientos cincuenta y uno y cursó los estudios de 'Director de Empresas Turísticas' por la Escuela Oficial de Turismo de Madrid.|es-75,en-10,es
MOS_0184|Hacer un marco fiscal de mediano plazo, actualizado, nuevo.|es-15,en-7,es
MOS_0185|Las medidas y métodos de China fueron impresionantes, dijo Nicholas Platt, ex diplomático estadounidense.|es-25,en-6,es-28,en-16,es
MOS_0186|Se trata del primer chino en ser elegido director general de la FAO.|es-20,en-6,es-15,en-17,es
MOS_0187|Hacerlo conllevará también tener que prescindir de personal y presentar un ERE temporal.|es-37,en-11,es-3,en-9,es-15,en-4,es
MOS_0188|A partir del quince de abril, el instituto aplicará tres medidas para el apoyo a los trabajadores.|es-13,en-7,es
MOS_0189|Antes de la reunión, Abdullah se reunió con su homólogo sirio, Walid al-Moallem.|es-21,en-9,es-26,en-7,es
MOS_0190|La CAN es un organismo de integración económica regional conformado por Bolivia, Colombia, Ecuador y Perú.|es-3,en-4,es-41,en-9,es-15,en-27,es
MOS_0191|Al cierre de la jornada financiera del lunes, el índice Dow Jones perdía doce coma noventa y tres por ciento, el Standard and Poor's quinientos, un once coma noventa y ocho por ciento y el Nasdaq, un doce coma treinta y dos por ciento.|es-56,en-10,es-36,en-8,es-3,en-20,es-15,en-5,es-36,en-8,es
MOS_0192|Entre tanto, en Europa, las principales bolsas cerraron al alza el viernes, tras la debacle del jueves.|es-84,en-8,es
MOS_0193|Hasina se encuentra de visita oficial en China, del tres al cinco de julio.|en-7,es-34,en-7,es
MOS_0194|La Bolsa suspendió sus operaciones por treinta minutos mediante el mecanismo circuit breaker.|es-3,en-6,es-68,en
MOS_0195|Desde el Gobierno también empiezan a tener claro que este será el único modelo viable de forma temporal.|es-79,en-7,es
MOS_0196|Es el primer cargamento organizado por la empresa Basic Devices SL para la Generalitat de Catalunya.|es-50,en-14,es
MOS_0197|El carbón de Mongolia Interior, Shanxi y Shaanxi llegará a la región central de China.|es-13,en-26,es-2,en-8,es-20,en-8,es
MOS_0198|El virus no destruirá Europa, pero nuestro egoísmo puede que sí, amenazó el ex vicecanciller Sigmar Gabriel.|es-3,en-6,es-70,en-21,es
MOS_0199|Escribió ayer Iglesias en Twitter, después de la rueda de prensa telemática posterior el Consejo de Ministros extraordinario.|es-26,en-9,es
MOS_0200|Sin embargo, las empresas deben seguir estrictamente las normas de prevención y control epidémico.|es-80,en-8,es
MOS_0201|Esto es, aquellos usuarios que han acordado una tarifa mensual con la compañía y no se rigen por el precio del 'pool' eléctrico.|es
MOS_0202|El gobierno chino tiene una hoja de ruta clara para promover la industria, agregó.|es-12,en-6,es-23,en-6,es-5,en-9,es-3,en-11,es
MOS_0203|Isabel Díaz Ayuso ha escrito en su cuenta de Twitter que la región será beneficiaria de una donación.|es-72,en-13,es
MOS_0204|Es cien por ciento perfecto, dijo Trump durante una entrevista telefónica con Fox Business Network.|es-34,en-6,es-38,en
MOS_0205|El índice Standard & Poor's quinientos subió veintiocho coma veintitrés puntos, o uno coma quince por ciento, para ubicarse en dos mil cuatrocientas setenta y cinco coma cincuenta y seis unidades.|es-10,en-9,es-2,en-7,es-63,en-7,es-4,en-8,es
MOS_0206|También advirtió al ge veinte de cometer un error histórico irreversible debido a la miopía temporal.|es-33,en-8,es-19,en-13,es
MOS_0207|Incluyendo JPMorgan, Bank of America y Citigroup, anunciaron la suspensión de sus respectivos programas de recompra de acciones propias.|es-11,en-26,es-2,en-11,es-57,en-9,es
MOS_0208|Hay mucho miedo al contagio hacia los mayores, explica el CEO de Aiudo, Daniel Ibiza.|es-58,en-4,es-10,en-7,es
MOS_0209|El mercado comercial de flores frescas más grande de Asia, situado en la provincia de Yunnan, suroeste de China, reanudó sus operaciones el veinticuatro de febrero, cuando la provincia redujo su respuesta de emergencia del primer al tercer nivel.|es-31,en-8,es-14,en-6,es-27,en-8,es-12,en-7,es
MOS_0210|La compañía, controlada por el gigante japonés Panasonic, mantenía hasta ahora su planta de Viladecavalls a medio gas.|es-13,en-11,es-23,en-11,es
MOS_0211|El Premio Nobel y columnista de 'The New York Times' insiste en que el euro fue un error que causó mucho sufrimiento a España.|es-32,en-9,es-5,en-7,es
MOS_0212|La cifra actual ya es prácticamente la más elevada de los últimos cinco años.|es-43,en-8,es
MOS_0213|China Telecom invertirá cuarenta y cinco mil trescientos millones de yuanes en cinco GE este año.|en-14,es-55,en-7,es
MOS_0214|Otras, como Mercadona, solo mantiene la entrega de pedidos online en Valencia y Barcelona.|es-12,en-11,es-36,en-7,es
MOS_0215|China es el segundo socio comercial y primer destino de la exportación agroalimentaria argentina.|en-6,es
MOS_0216|México es el principal receptor de remesas en América Latina.|es-13,en-19,es
MOS_0217|El plan tiene que tener en el centro la cuestión social, Argentina tiene hoy que redefinir sus prioridades.|es-3,en-5,es-41,en-18,es
MOS_0218|Es fundamental dedicarse a una causa principal con suma atención, ya es una obligación.|es-37,en-10,es
MOS_0219|Precisamente, según explica Andrés a Efe en su misión al crucero 'Grand Princess', es importante que los alimentos sean cocinados desde fuera del barco para evitar nuevos contagios desde las cocinas del crucero en cuarentena, una forma de asegurar el control sanitario y salir del bucle de las infecciones.|es-65,en-18,es-168,en-8,es
MOS_0220|Sin embargo, tanto los partidos que están financiados con dinero público como empresas encargan estos 'trackings' para conocer las tendencias de la última semana de campaña, unas tendencias que pueden ser decisivas para decantar la balanza en las urnas.|es-102,en-12,es-106,en-9,es
MOS_0221|Carrasquilla habló de las fuentes de financiamiento para apoyar al sector salud y a gente vulnerable.|es-67,en-7,es-16,en
MOS_0222|El republicano volvió a reclamar que se investigue hasta el último euro de los 'business' con sátrapas saudíes y subrayó que la crisis por la pandemia no puede usarse como cortina de humo para tapar las vergüenzas.|es-79,en-11,es-38,en-7,es-7,en-9,es
MOS_0223|El Gobierno acude a la industria nacional para salvar el déficit de material sanitario.|es-68,en-9,es
MOS_0224|El índice Standard and Poor's quinientos aumentó once coma veintinueve puntos, o cero coma cuarenta y siete por ciento, para ubicarse en dos mil cuatrocientos nueve coma treinta y nueve unidades.|es-10,en-20,es-19,en-5,es-5,en-12,es-41,en-8,es
